stime,ctime,mac,ssid,bssid,rssi
1691367622.4022791,1609461510,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-44
1691367622.4022791,1609461510,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-55
1691367628.3415985,1609461164,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-43
1691367628.3415985,1609461164,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-45
1691367628.3415985,1609461164,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-48
1691367631.2080512,1609461047,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-46
1691367631.209048,1609461047,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-53
1691367631.209048,1609461047,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-53
1691367631.6182425,1609461100,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-39
1691367631.6182425,1609461100,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691367631.6182425,1609461100,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-53
1691367633.4596164,1609461521,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-43
1691367633.4596164,1609461521,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-45
1691367633.4596164,1609461521,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-56
1691367639.8093958,1609461176,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-43
1691367639.8093958,1609461176,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-43
1691367639.8093958,1609461176,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-49
1691367642.2678263,1609461058,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-46
1691367642.2678263,1609461058,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-53
1691367642.2678263,1609461058,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-54
1691367642.8800194,1609461111,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-37
1691367642.8800194,1609461111,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691367642.8800194,1609461111,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-53
1691367644.5218,1609461532,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-40
1691367644.5218,1609461532,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-44
1691367644.5218,1609461532,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-57
1691367651.2791069,1609461187,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-44
1691367651.2791069,1609461187,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-44
1691367651.2791069,1609461187,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-48
1691367653.3258245,1609461069,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-48
1691367653.3258245,1609461069,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-51
1691367653.3258245,1609461069,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-53
1691367654.145799,1609461122,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-36
1691367654.145799,1609461122,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691367654.145799,1609461122,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-51
1691367655.5794897,1609461543,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-38
1691367655.5794897,1609461543,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-40
1691367655.5794897,1609461543,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-53
1691367662.7494223,1609461199,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-42
1691367662.7494223,1609461199,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-46
1691367662.7494223,1609461199,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-46
1691367664.3846738,1609461080,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-47
1691367664.3846738,1609461080,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-52
1691367664.3846738,1609461080,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-52
1691367665.2037446,1609461133,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-40
1691367665.2037446,1609461133,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691367665.2037446,1609461133,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-51
1691367666.6403525,1609461554,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-41
1691367666.6403525,1609461554,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-42
1691367666.6403525,1609461554,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-53
1691367674.218532,1609461210,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-44
1691367674.218532,1609461210,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-46
1691367674.218532,1609461210,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-48
1691367675.445377,1609461092,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-46
1691367675.445377,1609461092,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-49
1691367675.445377,1609461092,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-54
1691367676.2635803,1609461144,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-39
1691367676.2635803,1609461144,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-46
1691367676.2635803,1609461144,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-49
1691367677.6968946,1609461565,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-42
1691367677.6968946,1609461565,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691367677.6968946,1609461565,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-56
1691367685.6851745,1609461222,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-43
1691367685.6851745,1609461222,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-45
1691367685.6851745,1609461222,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-49
1691367686.505288,1609461103,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-50
1691367686.505288,1609461103,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-51
1691367686.505288,1609461103,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-54
1691367687.3223355,1609461155,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-38
1691367687.3223355,1609461155,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-44
1691367687.3223355,1609461155,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-51
1691367688.7812073,1609461576,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-41
1691367688.7812073,1609461576,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-44
1691367688.7812073,1609461576,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-56
1691367696.7457192,1609461233,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-45
1691367696.7467084,1609461233,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-46
1691367696.7467084,1609461233,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-48
1691367697.5638304,1609461114,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-47
1691367697.5638304,1609461114,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-50
1691367697.5638304,1609461114,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-55
1691367698.3848588,1609461166,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-40
1691367698.3848588,1609461166,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691367698.3848588,1609461166,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-49
1691367700.0210001,1609461587,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-41
1691367700.0210001,1609461587,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-44
1691367700.0210001,1609461587,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-55
1691367708.215073,1609461244,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-42
1691367708.215073,1609461244,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-47
1691367708.215073,1609461244,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-47
1691367708.6243613,1609461125,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-47
1691367708.6243613,1609461125,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-49
1691367708.6253197,1609461125,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-53
1691367709.441796,1609461178,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-39
1691367709.441796,1609461178,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-44
1691367709.441796,1609461178,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-50
1691367711.4884975,1609461598,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-41
1691367711.4884975,1609461598,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-44
1691367711.4884975,1609461598,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-53
1691367719.690357,1609461136,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-48
1691367719.690357,1609461136,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-49
1691367719.690357,1609461136,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-54
1691367719.6923552,1609461256,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-43
1691367719.6923552,1609461256,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-44
1691367719.6923552,1609461256,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-47
1691367720.50213,1609461189,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-37
1691367720.50213,1609461189,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-41
1691367720.50213,1609461189,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-50
1691367722.9575355,1609461610,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-42
1691367722.9575355,1609461610,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691367722.9575355,1609461610,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-55
1691367730.7485366,1609461267,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-44
1691367730.7485366,1609461267,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-44
1691367730.7485366,1609461267,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-50
1691367730.7515402,1609461147,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-45
1691367730.7515402,1609461147,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-51
1691367730.7515402,1609461147,28:cd:c1:02:6b:a0,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-54
1691367731.4740138,1609461200,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-38
1691367731.4740138,1609461200,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691367731.4740138,1609461200,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-51
1691367734.2220101,1609461621,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-40
1691367734.2220101,1609461621,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691367734.2220101,1609461621,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-55
